Claim reference,Line of Business,Notification date,Claim Status,Notifcation Time,Lifecycle,Broker Account Number,Policy Number
AA387453,Casualty,01/01/2021,Open,3,341,11111,AB19191
AA387453,Casualty,03/02/2021,Open,4,12,11111,YT18069
CD967731,Casualty,15/04/2021,Open,,135,11111,UI24635
FF471941,Casualty,03/02/2021,Open,10,234,24125,HJ24130
KK854853,Casualty,24/10/2021,Open,6,90,33462,RW23535
MJ188919,Casualty,15/09/2021,Open,34,66,47345,RW24634
MM579339,Casualty,29/03/2021,Open,23,45,13523,FX13460
PY131223,Casualty,27/09/2021,Open,35,12,13523,ML23512
XY720526,Casualty,24/10/2021,Closed,3,431,13523,PL15744
209206,Casualty,17/01/2021,Open,50,31,13523,YT18068
X,Casualty,24/10/2021,Reopened ,23,363,,XX
PY493066,Casualty,01/10/2021,Open,43,25,68623,JH13512
BB647643,Casualty,21/08/2021,Open,46,0,35536,RY2351
,Casualty,15/08/2021,Closed,68,43,23531,AB19193
CC468036,Casualty,01/04/2021,Closed,346,235,34645,
,Casualty,27/11/2021,Open,38,134,15268,
BB898537,Motor,24/10/2021,Open,36,0,11111,CP129312
,Motor,29/03/2021,Open,8,34,BC12416,68623
FJ434943,Motor,12/01/2021,Open,4,51,68623,CP129314
KK854853,Motor,19/01/2021,Open,3,0,35536,CP129315
LL877944,Motor,24/10/2021,Closed,6,5,23531,CP129316
MN111359,Motor,15/08/2021,Reopened ,53,7,34645,CP129317
MN111359,Motor,28/03/2021,Closed,46,64,68623,BC12412
PY562955,Motor,01/01/2021,Open,89,32,35536,BC12413
XY793140,Motor,13/06/2021,Open,4,43,23531,BC12414
ZZ404561,Motor,13/11/2021,Reopened ,78,4,34645,BC12415
994348,Motor,16/10/2021,Open,5,34,EF12421,11111
612116,Motor,01/01/2021,Open,4,90,,BC12417
PJ798988 ,Motor,13/06/2021,Open,89,67,,BC12418
PY493066,Motor,11/09/2021,Reopened ,83,24,35536,HJ24131
FF208128,Motor,27/11/2021,Open,4,321,23531,FX13459
CC960488,Motor,29/03/2021,Open,21,89,34645,PL15745
XY652497,Motor,28/09/2021,Open,52,214,35536,PL15746
M,Motor,25/07/2021,Open,34,122,,PL15747
C447482,Motor,21/08/2021,Closed,13,12,68623,RY2352
PJ918833,Motor,03/10/2021,Closed,53,5,,JH13514
FF146176,Motor,28/12/2021,Closed,3,56,35536,JH13513
E865453,Motor,19/10/2021,Open,3,89,,VC13513
CC710463,PI,13/06/2021,Open,1,23,11111,RY2353
CK522534,PI,15/08/2021,Open,2,7,33333,AB19192
GE122914,PI,12/05/2021,Open,54,51,X,FZ23515
LL270668,PI,05/01/2021,Reopened ,33,23,35536,HJ24131
M459549,PI,13/06/2021,Open,12,23,35536,KZ79536
MN763129,PI,07/02/2021,Open,4,76,,
XY407134,PI,03/02/2021,Closed,53,12,34645,JH13515
Z941689,PI,03/02/2021,Open,5,312,33333,RY2355
467835,PI,08/07/2021,Open,67,12,68623,JH13516
CP729725,PI,03/02/2021,Open,5,21,,
MM105026,PI,07/07/2021,Open,4,42,23531,FX13459
F776894,PI,05/02/2021,Open,7,0,34645,DJ14212
FF801014,PI,03/10/2021,Open,3,32,68623,IO75258
CK122356,PI,04/02/2021,Open,5,546,35536,HJ24129
DD103657,PI,21/08/2021,Open,75,12,33333,RY2354
DD438320,Property,28/09/2021,Open,21,346,68623,KZ79535
EE901910,Property,01/01/2021,Reopened ,4,34,33333,AB19192
LL270668,Property,03/02/2021,Open,3,4,68623,JH13514
PL856918,Property,27/03/2021,Open,32,457,35536,DJ14213
ZY501363,Property,21/05/2021,Open,45,123,23531,VC13512
LL270515,Property,15/08/2021,Open,56,32,34645,ML23513
DD279981,Property,11/09/2021,Open,6,34,PK12488,68623
EF811402,Property,14/11/2021,Reopened ,43,124,68623,HJ24131
ZZ635793,Property,03/03/2021,Open,5,214,35536,FZ23514
